[2024-08-13 18:47:46.695] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.700] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.704] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.708] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.713] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.718] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.723] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.727] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.732] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.737] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.741] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.746] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.750] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.754] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.759] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.764] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.769] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.773] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.778] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.783] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.787] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.791] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.795] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.800] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.804] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.809] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.816] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.821] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.825] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.829] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.834] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.841] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.847] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.852] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.856] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.861] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.865] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.869] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.874] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.879] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.883] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.887] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.892] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.897] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.901] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.907] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.911] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.916] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.920] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.924] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.929] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.933] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.937] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.942] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.946] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.953] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.958] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.962] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.966] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.970] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.975] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.979] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.983] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.988] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.994] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.000] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.003] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.008] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.012] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.016] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.020] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.025] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.029] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.033] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.037] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.042] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.049] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.053] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.058] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.062] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.067] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.074] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.078] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:47.083] [APP] [debug] v_x: 0, v_y: 0
