[2024-08-13 19:35:08.026] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.030] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.038] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.042] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.047] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.051] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.055] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.059] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.063] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.067] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.072] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.080] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.084] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.088] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.093] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.097] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.101] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.105] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.109] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.113] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.119] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.126] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.130] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.135] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.142] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.147] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.152] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.158] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.163] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.168] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.175] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.179] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.184] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.189] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.193] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.198] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.204] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.209] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.214] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.218] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.222] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.226] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.230] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.234] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.238] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.243] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.247] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.251] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.255] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.259] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.264] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.271] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.276] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.280] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.284] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.288] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.293] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.300] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.305] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.309] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.314] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.321] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.328] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.334] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.338] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.347] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.355] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.359] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.364] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.367] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.373] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.379] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.384] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.389] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.393] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.397] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.401] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.405] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.409] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.413] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.419] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.423] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.429] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.434] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.438] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.442] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.446] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.451] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.456] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.462] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.467] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.473] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.477] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.484] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.489] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.493] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.500] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.505] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.514] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.519] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.526] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.532] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.538] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.543] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.548] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.556] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.563] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.567] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.572] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.577] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.581] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.585] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.589] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.593] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.600] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.605] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.613] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.617] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.621] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.626] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.630] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.634] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.643] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.647] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.651] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.655] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.659] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.664] [APP] [debug] x: 5000, y: 0
